2025-05-26 15:04:32.6375 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 6 
2025-05-26 15:04:32.7384 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 6 
2025-05-26 15:04:32.8374 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-26 15:04:32.9435 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-26 15:04:33.0611 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 15:04:33.1608 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 15:04:33.2764 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 6 usuarios 
2025-05-26 15:04:37.2669 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 5 personas de la base de datos 
2025-05-26 15:04:41.4773 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 5 personas de la base de datos 
2025-05-26 15:04:53.2010 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 5 personas de la base de datos 
2025-05-26 15:04:59.4426 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 5 personas de la base de datos 
2025-05-26 18:25:00.2725 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-26 18:25:00.8618 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-26 18:25:00.8618 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-26 18:25:06.7337 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-26 18:25:06.7377 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = Oscar 
2025-05-26 18:25:06.7377 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Contrasena = 123 
2025-05-26 18:25:06.8994 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 18:25:06.9934 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:07.0888 | INFO | InvSis.Data.UsuariosDataAccess | Usuario Oscar autenticado correctamente 
2025-05-26 18:25:07.1873 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 18:25:07.1873 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:09.9571 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-26 18:25:10.0601 | INFO | InvSis.Data.PersonasDataAccess | Se obtuvieron 6 personas de la base de datos 
2025-05-26 18:25:10.1567 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 18:25:10.2507 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 8 
2025-05-26 18:25:10.3445 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 6 
2025-05-26 18:25:10.4376 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 7 
2025-05-26 18:25:10.5305 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 5 
2025-05-26 18:25:10.6257 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-26 18:25:10.7185 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-26 18:25:10.8135 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-26 18:25:10.9083 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 4 
2025-05-26 18:25:11.0029 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 6 
2025-05-26 18:25:11.0965 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 6 
2025-05-26 18:25:11.1898 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-26 18:25:11.2826 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-26 18:25:11.3757 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 18:25:11.4689 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:11.5614 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 7 usuarios 
2025-05-26 18:25:12.6103 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 21 permisos de la base de datos 
2025-05-26 18:25:14.4312 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 18:25:14.4431 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:14.6347 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 17 permisos de la base de datos 
2025-05-26 18:25:14.6347 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:14.7476 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:14.9387 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 17 permisos de la base de datos 
2025-05-26 18:25:14.9387 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:15.0423 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:15.2486 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 17 permisos de la base de datos 
2025-05-26 18:25:15.2486 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:16.8959 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-26 18:25:17.2453 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-26 18:25:17.2453 | INFO | InvSis.Data.MovimientoProductoDataAccess | MovimientoProductoDataAccess inicializado correctamente 
2025-05-26 18:25:17.2453 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-26 18:25:17.3882 | ERROR | InvSis.Data.ProductosDataAccess | Error al obtener productos System.ArgumentException: Column 'costo_unitario' does not belong to table .
   at System.Data.DataRow.GetDataColumn(String columnName)
   at System.Data.DataRow.get_Item(String columnName)
   at InventariosCore.Data.ProductosDataAccess.ObtenerProductos(Boolean soloActivos) in C:\Users\esqui\OneDrive\Documents\8 SEMESTRE\programacion version pendiente de apii\InventariosCore\Data\ProductosDataAccess.cs:line 401System.ArgumentException: Column 'costo_unitario' does not belong to table .
   at System.Data.DataRow.GetDataColumn(String columnName)
   at System.Data.DataRow.get_Item(String columnName)
   at InventariosCore.Data.ProductosDataAccess.ObtenerProductos(Boolean soloActivos) in C:\Users\esqui\OneDrive\Documents\8 SEMESTRE\programacion version pendiente de apii\InventariosCore\Data\ProductosDataAccess.cs:line 401
2025-05-26 18:25:17.4388 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-26 18:25:17.5337 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 18:25:17.6269 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 8 
2025-05-26 18:25:17.7210 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 6 
2025-05-26 18:25:17.8179 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 7 
2025-05-26 18:25:17.9105 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 5 
2025-05-26 18:25:18.0044 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 4 
2025-05-26 18:25:18.0973 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 1 
2025-05-26 18:25:18.1903 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 5 
2025-05-26 18:25:18.2847 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 4 
2025-05-26 18:25:18.3793 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 6 
2025-05-26 18:25:18.4738 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 6 
2025-05-26 18:25:18.5666 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 18:25:18.6608 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 18:25:18.7549 | INFO | InvSis.Data.UsuariosDataAccess | Se obtuvieron 6 usuarios 
2025-05-26 18:25:18.8536 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 4 productos 
2025-05-26 18:25:20.6047 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-26 18:25:20.7055 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 4 productos 
2025-05-26 18:25:22.2852 | INFO | InvSis.Data.BitacoraDataAccess | BitacoraDataAccess inicializado correctamente 
2025-05-26 18:25:22.3842 | INFO | InvSis.Data.BitacoraDataAccess | Se obtuvieron 0 registros filtrados de bitácora 
2025-05-26 18:25:23.9838 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaInicio = 26/04/2025 12:00:00 a. m. 
2025-05-26 18:25:23.9838 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaFin = 26/05/2025 12:00:00 a. m. 
2025-05-26 18:25:24.0793 | INFO | InvSis.Data.BitacoraDataAccess | Se obtuvieron 0 registros filtrados de bitácora 
2025-05-26 18:25:25.7039 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaInicio = 26/04/2025 12:00:00 a. m. 
2025-05-26 18:25:25.7039 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaFin = 26/05/2025 12:00:00 a. m. 
2025-05-26 18:25:25.7969 | INFO | InvSis.Data.BitacoraDataAccess | Se obtuvieron 0 registros filtrados de bitácora 
2025-05-26 18:25:26.7612 | INFO | InvSis.Data.BitacoraDataAccess | Se obtuvieron 0 registros filtrados de bitácora 
2025-05-26 18:25:27.9213 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaInicio = 26/04/2025 12:00:00 a. m. 
2025-05-26 18:25:27.9213 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @FechaFin = 26/05/2025 12:00:00 a. m. 
2025-05-26 18:25:28.0172 | INFO | InvSis.Data.BitacoraDataAccess | Se obtuvieron 0 registros filtrados de bitácora 
2025-05-26 19:11:40.2503 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-26 19:11:40.9088 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-26 19:11:40.9088 | INFO | InvSis.Data.UsuariosDataAccess | UsuariosDataAccess inicializado correctamente 
2025-05-26 19:11:46.6178 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-26 19:11:46.6178 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Nickname = Oscar 
2025-05-26 19:11:46.6178 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @Contrasena = 123 
2025-05-26 19:11:46.8359 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdPersona = 1 
2025-05-26 19:11:46.9296 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 19:11:47.0223 | INFO | InvSis.Data.UsuariosDataAccess | Usuario Oscar autenticado correctamente 
2025-05-26 19:11:47.1215 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 6 roles de la base de datos 
2025-05-26 19:11:47.1215 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-26 19:11:51.6440 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
